R,G,I,F
1,1,79,9658952.815864218
1,1,80,9553136.738667998
1,1,81,9631114.030260703
1,1,82,9758832.196322437
1,1,83,9643382.204829361
1,1,84,9718899.865281655
1,1,85,9740845.302469593
1,1,86,9714656.07290337
1,1,87,9703454.846457977
1,1,88,9528496.255880078
1,1,89,9670265.689081337
1,1,90,9847702.503287254
1,1,91,9862407.303802872
1,1,92,9652062.515955718
1,1,93,9602893.773665655
1,1,94,9848520.838073531
1,1,95,9610092.65697279
1,1,96,9871271.474859292
1,1,97,9696492.93702307
1,1,98,9630072.830247365
1,1,99,9620026.168070255
1,2,0,9556441.724120528
1,2,1,9802470.38026043
1,2,2,9782903.815093124
1,2,3,9476556.40038703
1,2,4,9772432.59830082
1,2,5,9842871.8153985
1,2,6,9636749.914136749
1,2,7,9585500.777276717
1,2,8,9908980.837281482
1,2,9,9786141.224642549
1,2,10,9806217.30171057
1,2,11,9812733.606954668
1,2,12,9852998.386167528
1,2,13,9656852.60017659
1,2,14,9533786.199062828
1,2,15,9699073.455364062
1,2,16,9668256.75733569
1,2,17,9824475.498658948
1,2,18,9563393.107318815
1,2,19,9679533.857767211
1,2,20,9602893.773665655
1,2,21,9602893.773665655
1,2,22,9760742.909978217
1,2,23,9770149.31584535
1,2,24,9647625.504056605
1,2,25,9616565.929100696
1,2,26,9617208.347273842
1,2,27,9598328.974061862
1,2,28,9662346.985932598
1,2,29,9726659.055742498
1,2,30,9877816.347585032
1,2,31,9630072.830247365
1,2,32,9550768.796614975
1,2,33,9599133.965730201
1,2,34,9713953.590000294
1,2,35,9696492.93702307
1,2,36,9528496.255880078
1,2,37,9795381.961521465
1,2,38,9613161.458427114
1,2,39,9639658.610284632
1,2,40,9585855.300788514
1,2,41,9505296.228390053
1,2,42,9491003.184352051
1,2,43,9694686.633796342
1,2,44,9686119.559133511
1,2,45,9760145.926280335
1,2,46,9520583.793897059
1,2,47,9690542.346354645
1,2,48,9728068.227828925
1,2,49,9710006.280648623
1,2,50,9830844.605149012
1,2,51,9884968.931521324
1,2,52,9577535.283699254
