R,G,I,F
1,5,9,27086.883064196885
1,5,10,29814.929017579503
1,5,11,29073.214601553485
1,5,12,27093.40771040242
1,5,13,29658.65668328153
1,5,14,28177.894834076204
1,5,15,29637.530126997088
1,5,16,27074.721613528996
1,5,17,30163.12566426604
1,5,18,26791.173844561254
1,5,19,29924.445905331366
1,5,20,29755.4478486807
1,5,21,30424.255431237714
1,5,22,28625.565613303013
1,5,23,31541.478257517785
1,5,24,28812.230630145405
1,5,25,30424.018135041504
1,5,26,29252.614987668097
1,5,27,30477.591735389517
1,5,28,28815.996628227582
1,5,29,28855.781147486665
1,5,30,30569.590067155274
1,5,31,29576.463308626568
1,5,32,28448.922042765145
1,5,33,27451.128345879322
1,5,34,30619.486612094574
1,5,35,28965.0445941837
1,5,36,28605.527278281326
1,5,37,28499.07144282094
1,5,38,26925.22031996163
1,5,39,26783.585621437822
1,5,40,28911.590396737243
1,5,41,28311.792439366025
1,5,42,26159.414496053545
1,5,43,25375.864114468608
1,5,44,28606.479191586262
1,5,45,28647.089063275424
1,5,46,29418.589832714308
1,5,47,29558.814069448817
1,5,48,29405.599017753793
1,5,49,30448.222083825145
1,5,50,29882.028329407654
1,5,51,29542.387522598445
1,5,52,29644.909928689034
1,5,53,29725.43410333531
1,5,54,30116.143644663407
1,5,55,29098.324565899497
1,5,56,28911.787905662517
1,5,57,29788.33583852405
1,5,58,28038.721345987135
1,5,59,28131.930891486154
1,5,60,28625.104670802277
1,5,61,29832.230974235328
1,5,62,25654.31990116707
1,5,63,28714.071819754827
1,5,64,27601.660316472025
1,5,65,28555.57166675322
1,5,66,27195.419005300166
1,5,67,27057.230133698777
1,5,68,30226.546829420127
1,5,69,30040.912042636883
1,5,70,29051.020709371085
1,5,71,29350.294147175126
1,5,72,27135.550571812033
1,5,73,29522.22641426944
1,5,74,28405.212571630425
1,5,75,27982.951357423408
1,5,76,28479.769798026373
1,5,77,30109.34061865696
1,5,78,28294.54794804194
1,5,79,27780.082877311765
1,5,80,31153.91946949938
1,5,81,27630.21176851686
1,5,82,29704.31692323494
1,5,83,27814.73187134402
1,5,84,27495.52542957492
1,5,85,29445.046988803155
1,5,86,27521.683966362914
1,5,87,27647.51461194173
1,5,88,27723.016177765825
1,5,89,29245.8566640547
1,5,90,29513.208941382756
1,5,91,30707.76426377225
1,5,92,28542.90146187754
1,5,93,30310.168249118913
1,5,94,27911.65100706673
1,5,95,28939.02606429872
1,5,96,27828.181432384394
1,5,97,29689.89654861571
1,5,98,30175.980237398144
1,5,99,29838.744651254663
1,6,0,30226.546829420127
1,6,1,30283.644957938785
1,6,2,28649.971691666535
1,6,3,29240.250525728876
1,6,4,28546.854778636683
1,6,5,29980.86753410995
1,6,6,29944.546068368694
1,6,7,30310.168249118913
1,6,8,29655.879807607216
1,6,9,29682.97017962363
1,6,10,28176.325501289044
1,6,11,30583.78958997793
1,6,12,29051.020709371085
1,6,13,29704.316923234936
1,6,14,29105.375350354483
1,6,15,29347.938480343357
1,6,16,27809.602050085672
1,6,17,30247.567351256093
1,6,18,27796.460939401444
1,6,19,28014.580846402438
